0,1
Datasets/LJSpeech-1.1/wavs/LJ049-0179.wav,"the commission believes that both the fbi and the secret service have too narrowly construed their respective responsibilities.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0168.wav,"with the number of men available to the secret service and the time available, surveys of hundreds of buildings and thousands of windows is not practical.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0075.wav,"the worst, which perhaps was the english, was a terrible falling-off from the work of the earlier presses;,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0167.wav,"buildings are not checked either by secret service agents or by any other law enforcement officers at the request of the secret service.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0128.wav,"the fbi is the major domestic investigating agency of the united states,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0175.wav,"before the president reached dallas.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0132.wav,"the commission believes that it is necessary to improve the cooperation among these agencies,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0208.wav,"except as conclusions flowing directly from its examination of the president's assassination can be drawn.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0130.wav,"commercialism again compels the use of type too small in size to be comfortable reading:,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice35.wav,"computer terminate word,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0150.wav,"while the secret service representatives in dallas,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice29.wav,"she sells sea shells on the sea shore,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0065.wav,"this was notably the case with the early works printed at ulm, and in a somewhat lesser degree at augsburg.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0078.wav,"have properly taken the initiative in reexamining major aspects of presidential protection.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0160.wav,"since that time, the secret service has had and exercised responsibility for the physical protection of the president,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0163.wav,"the fbi, which was established within the department of justice in nineteen oh eight, has had in recent years an increasingly important role to play.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice36.wav,"test,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0008.wav,"has never been surpassed.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0069.wav,"this type was introduced into england by wynkyn de worde, caxton's successor,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0105.wav,"america has produced a good many showy books, the typography, paper, and illustrations of which are, however, all wrong,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0119.wav,"they should be responsible for advising the secret service if information develops indicating the existence of an assassination plot,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0123.wav,"this is awkward if you have to read bradshaw's guide in a hurry.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0077.wav,"since the assassination, the secret service and the department of the treasury,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0116.wav,"of such persons as have been constitutionally and lawfully provided to succeed thereto in case of a vacancy. it is important to this country,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0073.wav,"who were immediately responsible for the president's safety reacted promptly at the time the shots were fired.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0072.wav,"after the end of the fifteenth century the degradation of printing, especially in germany and italy,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0159.wav,"the secret service, then the only federal investigative agency, assumed full-time responsibility for the safety of the president.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0123.wav,"over the assassination of president kennedy led to embarrassment and confusion in the subsequent investigation by federal and local authorities.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0052.wav,"yet their type is artistically on a much lower level than jenson's, and in fact,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0086.wav,"it is anomalous that congress has legislated in other ways touching upon the safety of the chief executive or other federal officers,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0101.wav,"punish the murder or manslaughter of, attempt or conspiracy to murder, kidnaping of and assault upon,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0050.wav,"and though the famous family of aldus restored its technical excellence, rejecting battered letters,"
Datasets/LJSpeech-1.1/wavs/LJ001-0023.wav,"and was in fact the kind of letter used in the many splendid missals, psalters, etc., produced by printing in the fifteenth century."
Datasets/LJSpeech-1.1/wavs/LJ049-0166.wav,"although the fbi is not charged with the physical protection of the president, it does have an assignment, as do other government agencies,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice12.wav,"this is a successful test of my fourth year project,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0136.wav,"of departmental policies relating to the national security) the responsibility to review and oversee the protective activities of the secret service,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0164.wav,"in the appropriations of the fbi there has recurred annually an item for the, quote, protection of the person of the president of the united states, end quote,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0087.wav,"without making an attack on the president a crime. threatening harm to the president is a federal offense,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice27.wav,"my favourite tv show is criminal minds,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0088.wav,"were the leaders in this luckless change, though our own baskerville, who was at work some years before them, went much on the same lines;,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0171.wav,"with two federal agencies operating in the same general field of preventive investigation,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0083.wav,"it has long been a federal crime to conspire to injure any federal officer, on account of, or while he is engaged in, the lawful discharge of the duties of his office.,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0139.wav,"the service had twenty-eight agents participating in the dallas visit.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0011.wav,"it is of the first importance that the letter used should be fine in form;,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0068.wav,"a doctor is in the motorcade.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0053.wav,"they must be considered to have ended the age of fine printing in italy.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice1.wav,"computer go to youtube.com,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0100.wav,"the commission recognizes that no set of meaningful criteria will yield the names of all potential assassins. charles j. guiteau,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0180.wav,"the commission has the impression,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0182.wav,"in addition, the commission has concluded that the secret service particularly tends to be the passive recipient of information,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0125.wav,"once experience has been gained in implementing such agreements with the federal and leading state and local agencies,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0141.wav,"the foremost assignment of the committee would be to insure that the maximum resources of the federal government are fully engaged in the job of protecting the president,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0025.wav,"imitates a much freer hand, simpler, rounder, and less spiky, and therefore far pleasanter and easier to read."
Datasets/LJSpeech-1.1/wavs/LJ001-0043.wav,a further development of the roman letter took place at venice.
Datasets/LJSpeech-1.1/wavs/LJ049-0111.wav,"the activities of the victim at the time an assassination occurs and the motive for the assassination,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0065.wav,"a number of steps are taken, however, to permit appropriate steps to be taken in an emergency.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0076.wav,"and things got worse and worse through the whole of the seventeenth century, so that in the eighteenth printing was very miserably performed.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0003.wav,"for although the chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the netherlands, by a similar process,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0230.wav,"can and should be recommended by this commission in the interest of the more efficient protection of the president.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0145.wav,"and no written description of the role the local police were expected to perform.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice22.wav,"computer lower volume,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0194.wav,"should be transferred to the fbi,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0170.wav,"indicating the possibility of an attempt against the person or safety of the president, end quote, or other protected persons.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0186.wav,"the commission received a number of proposals designed to improve current arrangements for protecting the president.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0121.wav,"detailed formal agreements embodying these arrangements should be worked out between the secret service and both of these agencies.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice6.wav,"up,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0074.wav,"they emphasized the necessity that the information now being furnished be handled with judgment and care.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice8.wav,"left,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0181.wav,"that too much emphasis is placed by both on the investigation of specific threats by individuals and not enough on dangers from other sources.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0112.wav,"instead of ending in the sharp and clear stroke of jenson's letters;,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0031.wav,"in fourteen sixty-five sweynheim and pannartz began printing in the monastery of subiaco near rome,"
Datasets/LJSpeech-1.1/wavs/LJ049-0155.wav,"while investigating a plot to assassinate president cleveland, the service assigned a small protective detail of agents to the white house.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0177.wav,"and robert i. bouck, who was in charge of the protective research section of the secret service, believed that the accumulation of the facts known to the fbi,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0060.wav,"it must be understood that through the whole of the fifteenth and the first quarter of the sixteenth centuries,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0109.wav,"since the assassination, the service has recognized that these relationships must be far more formal,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice11.wav,"enable typing,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice7.wav,"down,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0120.wav,"at present, federal agencies participate only upon the sufferance of the local authorities.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0144.wav,"it had no prepared checklist of matters to be covered with local police on such visits to metropolitan areas,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0069.wav,"this basic approach to the problem of planning for emergencies is sound.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0165.wav,"which first appeared in the appropriation of the department of justice in nineteen ten under the heading, quote, miscellaneous objects, end quote.,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice5.wav,"computer keyboard,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0076.wav,"the problem is aggravated by the necessity that the service obtain the assistance of local law enforcement officials in evaluating the information which it receives,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0085.wav,"other than legal or peaceful, to satisfy any grievance, real or imagined.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0103.wav,"but the general revival of the old forms has made no way in those countries.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0079.wav,"caslon's type is clear and neat, and fairly well designed;,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0102.wav,"here and there a book is printed in france or germany with some pretension to good taste,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0220.wav,"that the determination of whether or not there should be a relocation of responsibilities and functions should be left to the executive and the congress,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0102.wav,"the president, vice president, or other officer next in the order of succession to the office of president, the president-elect and the vice-president-elect,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0158.wav,"these informal and part-time arrangements led to more systematic protection in nineteen oh two, after the assassination of president mckinley;,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice17.wav,"computer turn off light,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0118.wav,"since these agencies are already obliged constantly to evaluate the activities of such groups,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0147.wav,"the commission believes,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0060.wav,"but to consider any untoward circumstances as serious and to afford the president maximum protection at all times.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0172.wav,"at the two places in dallas where the president would remain for a period of time, love field and the trade mart,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0171.wav,"it was not practical to select a route where the president could not be seen from roofs or windows of buildings.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0218.wav,"between the secret service and the president and his family is contemplated.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0048.wav,"his letter is admirably clear and regular, but at least as beautiful as any other roman type."
Datasets/LJSpeech-1.1/wavs/LJ049-0196.wav,"on the other hand, it is urged that all features of the protection of the president and his family should be committed to an elite and independent corps.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0004.wav,"produced the block books, which were the immediate predecessors of the true printed book,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0089.wav,"but his letters, though uninteresting and poor, are not nearly so gross and vulgar as those of either the italian or the frenchman.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0159.wav,"agent lawson did not arrange for a prior inspection of buildings along the motorcade route,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice20.wav,"play,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0002.wav,"the warren commission report.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice9.wav,"right,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0067.wav,"in the low countries and cologne, which were very fertile of printed books, gothic was the favorite.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice33.wav,"i have to go now,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0018.wav,"the first books were printed in black letter, i.e. the letter which was a gothic development of the ancient roman character,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0112.wav,"and the leading state and local agencies that might be a source of such information.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0028.wav,"but by printers in strasburg, basle, paris, lubeck, and other cities."
Datasets/LJSpeech-1.1/wavs/myvoice13.wav,"to be or not to be that is the question,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0041.wav,"it must be said that it is in no way like the transition type of subiaco,"
Datasets/LJSpeech-1.1/wavs/LJ001-0013.wav,"than in the same operations with ugly ones.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0126.wav,"the secret service, through its field offices,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0212.wav,"to put it in a position to reach final conclusions in this respect.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0197.wav,"it is also contended that the agents should be intimately associated with the life of the presidential family,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0113.wav,"such agreements should describe in detail the information which is sought, the manner in which it will be provided to the secret service,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0072.wav,"that referrals to the secret service under the new criteria might, if not properly handled,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0146.wav,"the expert assistance and resources which it could draw upon would be particularly desirable in this complex and sensitive area.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0084.wav,"murder of the president has never been covered by federal law, however, so that once it became reasonably clear that the killing was the act of a single person,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0143.wav,"major needs of personnel or other resources might be met more easily on its recommendation than they have been in the past.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0101.wav,"leon f. czolgosz,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0063.wav,"which was generally more formally gothic than the printing of the german workmen,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice19.wav,"computer dim light,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0119.wav,"would be conducted by federal law enforcement officials, in particular, the fbi with the assistance of the secret service.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0033.wav,but which must certainly have come from the study of the twelfth or even the eleventh century mss.
Datasets/LJSpeech-1.1/wavs/myvoice28.wav,"i like to go for long walks,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0224.wav,"and services related to the security of the president.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0034.wav,"they printed very few books in this type, three only; but in their very first books in rome, beginning with the year fourteen sixty-eight,"
Datasets/LJSpeech-1.1/wavs/LJ001-0027.wav,"especially as regards the lower-case letters; and type very similar was used during the next fifteen or twenty years not only by schoeffer,"
Datasets/LJSpeech-1.1/wavs/myvoice38.wav,"press enter,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice24.wav,"computer mute,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0085.wav,"it was reserved for the founders of the later eighteenth century to produce letters which are positively ugly, and which, it may be added,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0203.wav,"so circumscribed, it could not maintain the esprit de corps or the necessary alertness for this unique and challenging responsibility.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0007.wav,"the earliest book printed with movable types, the gutenberg,"" or """"forty-two line bible"""" of about fourteen fifty-five"",,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0015.wav,"the forms of printed letters should be beautiful, and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0080.wav,"the suggestions of federal agencies for revision of these guidelines were solicited.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0046.wav,their type is on the lines of the german and french rather than of the roman printers.
Datasets/LJSpeech-1.1/wavs/myvoice16.wav,"computer turn on light,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0083.wav,"information is requested also concerning individuals or groups who have demonstrated an interest in the president,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0081.wav,"type cast from his matrices is still in everyday use.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0021.wav,"the earliest book printed with movable type, the aforesaid gutenberg bible, is printed in letters which are an exact imitation,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0157.wav,"agent lawson agreed that such a procedure would assist him and other agents in fulfilling their responsibilities as advance agents.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0195.wav,"leaving with the secret service only the responsibility for the physical protection of the president, that is, the guarding function alone.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice4.wav,"computer play music,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0044.wav,"john of spires and his brother vindelin, followed by nicholas jenson, began to print in that city,"
Datasets/LJSpeech-1.1/wavs/LJ001-0086.wav,"are dazzling and unpleasant to the eye owing to the clumsy thickening and vulgar thinning of the lines:,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0092.wav,"without authorizing it to arrest anyone who harms him. the same provisions authorize the service to arrest without warrant,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0191.wav,"is properly manned and equipped to carry on extensive information gathering functions within the united states.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0137.wav,"and the other federal agencies that assist in safeguarding the president. the committee should include the secretary of the treasury and the attorney general,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0221.wav,"perhaps upon recommendations based on further studies by the cabinet-level committee recommended above or the national security council.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0029.wav,"but though on the whole, except in italy, gothic letter was most often used"
Datasets/LJSpeech-1.1/wavs/LJ048-0138.wav,"the wholehearted support of these local authorities was indispensable to the service in carrying out its duties.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0173.wav,"as the testimony of j. edgar hoover and other bureau officials revealed, the fbi did not believe that its directive required the bureau,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0128.wav,"it is not a real gain, for the modern printer throws the gain away by putting inordinately wide spaces between his lines, which, probably,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0108.wav,"it is obvious that legibility is the first thing to be aimed at in the forms of the letters;,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0078.wav,"in june nineteen sixty-four, the secret service sent to a number of federal law enforcement and intelligence agencies,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0150.wav,"the page so lay on the paper that there was more space allowed to the bottom and fore margin than to the top and back of the paper,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0117.wav,"which title can only be claimed by artistic practice, whether the art in it be conscious or unconscious.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0071.wav,"most of caxton's own types are of an earlier character, though they also much resemble flemish or cologne letter.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice3.wav,"computer question what is the weather like in ireland,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0079.wav,"many changes have already been made and others are contemplated, some of them in response to the commission's questions and informal suggestions.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0092.wav,"chief rowley believed that they would,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0114.wav,"what this bill means to punish is the crime of interruption of the government of the united states and the destruction of its security by striking down the life,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0226.wav,"could improve their existing capacities and procedures so as to lessen the chances of assassination.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0118.wav,"enactment of this statute would mean that the investigation of any of the acts covered and of the possibility of a further attempt,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0082.wav,"had there been reason to believe that the assassination was the result of a conspiracy, federal jurisdiction could have been asserted;,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0080.wav,"assassination a federal crime,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0090.wav,"they seem unduly restrictive in continuing to require some manifestation of animus against a government official.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0164.wav,"for the inauguration and certain other parades in washington where the traditional route is known to the public long in advance of the event,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/myvoice25.wav,"what comes next is neither here nor there,,,,,,,,,,,,,,,,,,,"
